Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information
2018,Fall,2018-fa,AE,482,Introduction to Robotics,,,,,
2018,Fall,2018-fa,AE,483,Unmanned Aerial Vehicle (UAV) Navigation and Control,,,,,
2018,Fall,2018-fa,AE,497,Independent Study,,,,,
2018,Fall,2018-fa,AE,498,Special Topics,,,,,
2018,Fall,2018-fa,AE,502,Advanced Orbital Mechanics,,,,,
2018,Fall,2018-fa,AE,504,Optimal Aerospace Systems,,,,,
2018,Fall,2018-fa,AE,508,Optimal Space Trajectories,,,,,
2018,Fall,2018-fa,AE,510,Advanced Gas Dynamics,,,,,
2018,Fall,2018-fa,AE,511,Transonic Aerodynamics,,,,,
2018,Fall,2018-fa,AE,512,Molecular Gas Dynamics,,,,,
2018,Fall,2018-fa,AE,514,Boundary Layer Theory,,,,,
2018,Fall,2018-fa,AE,515,Wing Theory,,,,,
2018,Fall,2018-fa,AE,521,Fracture and Fatigue,,,,,
2018,Fall,2018-fa,AE,522,Dynamic Response of Materials,,,,,
2018,Fall,2018-fa,AE,523,Nanoscale Contact Mechanics,,,,,
2018,Fall,2018-fa,AE,524,Nonlinear Solid Mech Design,,,,,
2018,Fall,2018-fa,AE,525,Advanced Composite Materials,,,,,
2018,Fall,2018-fa,AE,526,Composites Manufacturing,,,,,
2018,Fall,2018-fa,AE,527,Multi-Scale Modeling of Materials,,,,,
2018,Fall,2018-fa,AE,528,Nonlinear Continuous Media,,,,,
2018,Fall,2018-fa,AE,529,Viscoelasticity Theory,,,,,
2018,Fall,2018-fa,AE,538,Combustion Fundamentals,,,,,
2018,Fall,2018-fa,AE,542,Aerospace Syst Engineering I,,,,,
2018,Fall,2018-fa,AE,543,Aerospace Syst Engineering II,,,,,
2018,Fall,2018-fa,AE,550,Nonlinear Aeroelasticity,,,,,
2018,Fall,2018-fa,AE,551,Elastodynamics and Vibrations,,,,,
2018,Fall,2018-fa,AE,554,Dynamical Systems Theory,,,,,
2018,Fall,2018-fa,AE,555,Multivariable Control Design,,,,,
2018,Fall,2018-fa,AE,556,Robust Control,,,,,
2018,Fall,2018-fa,AE,560,Fracture Mechanics Laboratory,,,,,
2018,Fall,2018-fa,AE,564,Advanced Aero Propulsion Lab,,,,,
2018,Fall,2018-fa,AE,583,Advanced Robotic Planning,,,,,
2018,Fall,2018-fa,AE,590,Seminar,,,,,
2018,Fall,2018-fa,AE,597,Independent Study,,,,,
2018,Fall,2018-fa,AE,598,Special Topics,,,,,
2018,Fall,2018-fa,AE,599,Thesis Research,,,,,
2018,Fall,2018-fa,AFAS,102,Leadership Laboratory,,,,,
