Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2017,Fall,2017-fa,ACE,210,Environmental Economics,23,41,17,16,23,10,7,7,4,1,1,1,5,1,"Christensen, Peter"
2017,Fall,2017-fa,ACE,222,Agricultural Marketing,14,44,17,21,19,14,11,4,2,0,4,1,4,0,"Stoddard, Paul B"
2017,Fall,2017-fa,ACE,240,Personal Financial Planning,12,48,38,24,24,2,4,6,2,2,0,1,3,0,"Stoddard, Paul B"
2017,Fall,2017-fa,ACE,240,Personal Financial Planning,10,20,0,5,8,2,0,4,0,0,0,0,0,0,"Lemoine, Craig"
2017,Fall,2017-fa,ACE,251,The World Food Economy,12,37,33,20,16,8,3,4,3,1,1,0,0,0,"Michelson, Hope C"
2017,Fall,2017-fa,ACE,261,Applied Statistical Methods,4,10,17,10,9,5,5,5,0,1,2,0,1,1,"Gundersen, Lisa C"
2017,Fall,2017-fa,ACE,306,Food Law,1,7,10,0,10,4,3,1,1,0,3,0,0,0,"Endres, A B"
2017,Fall,2017-fa,ACE,341,Issues in Agribus Mkts & Mgmt,19,2,5,1,2,0,0,0,0,0,0,0,0,0,"Stoddard, Paul B"
2017,Fall,2017-fa,ACE,341,Issues in AgAccy and FinAg,1,13,6,0,1,0,0,0,0,0,0,0,0,0,"Finnegan, Ann B"
2017,Fall,2017-fa,ACE,345,Finan Decision Indiv Sm Bus,0,67,8,6,12,7,5,4,0,1,1,0,0,0,"Paulson, Nicholas D"
2017,Fall,2017-fa,ACE,346,Tax Policy and Finan Planning,2,13,9,6,10,4,1,3,2,0,0,0,0,0,"Breen, John"
2017,Fall,2017-fa,ACE,406,Environmental Law,6,2,2,4,12,2,2,2,2,2,0,0,1,0,"Endres, A B"
2017,Fall,2017-fa,ACE,411,Environment and Development,17,10,4,5,6,4,6,2,0,0,0,0,0,0,"Baylis, Katherine R"
2017,Fall,2017-fa,ACE,427,Commodity Price Analysis,0,25,10,12,17,11,4,3,2,0,2,0,2,0,"Mallory, Mindy L"
2017,Fall,2017-fa,ACE,428,Commodity Futures and Options,0,5,8,8,15,5,0,6,0,0,0,0,0,0,"Robe, Michel A"
2017,Fall,2017-fa,ACE,432,Farm Management,11,10,5,2,0,1,0,0,0,0,0,0,0,0,"Kuethe, Todd H"
2017,Fall,2017-fa,ACE,435,Global Agribusiness Management,3,20,20,8,9,3,0,0,0,0,0,0,0,0,"Scholl, Jon H"
2017,Fall,2017-fa,ACE,444,Finan Serv & Invest Plan,0,16,7,4,2,1,0,1,0,0,0,0,1,0,"Schnitkey, Gary D"
2017,Fall,2017-fa,ACE,444,Finan Serv & Invest Plan,2,12,6,3,3,4,0,2,1,0,2,0,2,1,"Schnitkey, Gary D"
2017,Fall,2017-fa,ACE,455,Intl Trade in Food and Agr,23,10,11,7,8,1,2,0,0,0,0,0,0,0,"Baylis, Katherine R"
