Fall,Term Code,College,Department,Degree,Major Code,Major Name,Concentration Code,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
2018,120188,KP ,343,MENGR ,408,Bioengineering ,5542,General Bioengineering ,20,11,9,0,5,5,4,0,0,0,0,6,0,4,0,0,5,12,8,1PKS5542MENG
2018,120188,KP ,343,MENGR ,408,Bioengineering ,5544,Computational Genomics ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1PKS5544MENG
2018,120188,KP ,343,MENGR ,408,Bioengineering ,5545,Bioinstrumentation ,8,6,2,0,0,1,0,0,0,0,0,7,0,0,0,0,1,1,7,1PKS5545MENG
2018,120188,KP ,343,MS ,408,Bioengineering ,  ,  ,5,2,3,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,5,10KS0408MS
2018,120188,KP ,343,PHD ,408,Bioengineering ,  ,  ,80,46,34,0,23,7,1,5,0,0,2,42,0,2,1,0,9,11,69,10KS0408PHD
2018,120188,KP ,343,PHD ,408,Bioengineering ,5511,Computational Sci & Engr ,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,10KS0408PHD
2018,120188,KP ,343,PHD ,408,Bioengineering ,5563,Cancer Nanotechnology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KS0408PHD
2018,120188,KM ,346,BS ,71,Accountancy ,  ,  ,817,386,431,0,315,150,15,61,0,0,15,257,4,21,3,1,165,499,318,10KM0071BS
2018,120188,KM ,346,MAS ,71,Accountancy ,  ,  ,207,102,105,0,70,30,3,14,0,0,5,85,0,5,1,0,34,104,103,10KS0071MAS
2018,120188,KM ,346,MS ,71,Accountancy ,  ,  ,173,30,143,0,7,1,1,1,0,0,1,162,0,1,0,0,2,9,164,10KS0071MSK
2018,120188,KM ,346,MS ,71,Accountancy ,  ,  ,173,103,70,0,88,32,19,13,0,0,2,2,17,20,1,0,42,55,118,1PKS0071MSU
2018,120188,KM ,346,NDEG ,71,Accountancy ,  ,  ,40,22,18,0,19,4,4,3,0,0,2,0,8,6,1,0,6,2,38,1PKS0071NDEU
2018,120188,KM ,346,NDEG ,71,Accountancy ,73,Accountancy Postb ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1PKM0073NDEU
2018,120188,KM ,346,PHD ,71,Accountancy ,  ,  ,18,12,6,0,8,0,0,0,0,0,0,10,0,0,0,0,0,1,17,10KS0071PHD
2018,120188,KV ,361,MS ,324,Entomology ,  ,  ,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10KS0324MS
2018,120188,KV ,361,PHD ,324,Entomology ,  ,  ,24,17,7,0,15,1,0,3,0,0,1,4,0,0,1,0,1,7,17,10KS0324PHD
2018,120188,KV ,362,BALAS ,285,E Asian Languages & Cultures ,  ,  ,33,13,20,0,17,7,1,3,0,0,0,5,0,1,0,0,7,25,8,10KV0285BALA
2018,120188,KV ,362,BALAS ,285,E Asian Languages & Cultures ,  ,  ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10KV8037BALA
2018,120188,KV ,362,MA ,5311,East Asian Studies ,  ,  ,11,6,5,0,0,2,0,0,0,0,0,9,0,0,0,0,2,1,10,10KS5311MA
2018,120188,KV ,362,PHD ,285,E Asian Languages & Cultures ,  ,  ,25,7,18,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,25,10KS0285PHD
2018,120188,KV ,377,MS ,320,Plant Biology ,  ,  ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10KS0320MS
2018,120188,KV ,377,PHD ,320,Plant Biology ,  ,  ,29,10,19,0,11,2,0,2,0,0,0,13,1,1,0,0,2,3,26,10KS0320PHD
2018,120188,KV ,377,PHD ,320,Plant Biology ,5511,Computational Sci & Engr ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KS0320PHD
2018,120188,KV ,383,BSLAS ,438,Integrative Biology ,  ,  ,282,118,164,0,152,40,23,43,0,1,15,8,0,27,2,6,54,261,21,10KV0438BSLA
2018,120188,KV ,383,BSLAS ,438,Integrative Biology ,  ,  ,5,3,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5,0,10KV8037BSLA
