Subject,Course,CRN,Course Title,Course Section,Sched Type,Term,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
CS,511,50497,Advanced Data Management,DM,LCD,120238,31,39,4,4,0,0,0,0,0,0,0,0,0,0,3.95,"Park, Yongjoo"
CS,512,77189,Data Mining Principles,DMP,LCD,120238,9,28,14,6,6,5,2,3,1,0,1,0,0,0,3.52,"Han, Jiawei"
CS,527,35912,Topics in Software Engineering,S,LCD,120238,6,22,13,13,3,3,1,0,0,0,0,0,0,0,3.64,"Marinov, Darko"
CS,542,74766,Stat Reinforcement Learning,S,LCD,120238,5,16,7,6,4,3,0,1,0,0,1,0,0,0,3.55,"Jiang, Nan"
CS,545,75562,Machine Learning for Signals,MLS,LEC,120238,9,32,24,0,10,0,0,1,0,0,0,0,0,0,3.74,"Smaragdis, Paris"
CS,546,74740,Adv Topics in NLP,ATN,LCD,120238,16,70,34,12,0,0,0,0,0,0,0,0,1,0,3.83,"Ji, Heng"
CS,562,75418,Adv. Trustworthy Mach. Lrng.,SML,LCD,120238,4,22,6,2,0,0,0,0,0,0,0,0,0,0,3.9,"Wang, Gang"
CS,567,75897,Social Spaces,K,LCD,120238,7,21,6,3,1,2,2,1,0,0,0,0,0,0,3.7,"Karahalios, Kyratso G"
CS,580,75420,Topics in Algrthmc Game Theory,AGT,LEC,120238,4,10,5,6,1,1,0,0,0,0,0,0,0,0,3.7,"Mehta, Ruta"
CS,598,69375,Foundations of Data Curation,AO2,ONL,120238,268,57,3,2,1,1,0,0,0,0,0,0,0,0,3.99,"Willis, Craig A"
CS,598,72124,ADV Comp. Topics in Robotics,KKH,LCD,120238,4,8,5,6,3,1,0,0,0,0,1,0,0,1,3.54,"Hauser, Kris"
CS,598,57715,ML + Data Systems,MS,LCD,120238,4,37,2,0,2,0,0,0,0,0,0,0,0,0,3.94,"Kang, Daniel"
CS,598,70683,Practical Statistical Learning,PSO,ONL,120238,0,123,21,6,19,8,0,0,0,0,0,0,0,5,3.77,"Liang, Feng"
CS,598,49224,Cloud Stor Sys: Theory&Practic,RAP,LEC,120238,29,4,6,1,0,0,0,0,0,0,1,0,0,0,3.86,"Alagappan, Ramnatthan"
CS,598,49828,Research Methods in HCI,SPH,LCD,120238,8,19,3,0,2,0,0,0,0,0,0,0,0,0,3.91,"Sterman, Sarah G"
CS,598,70199,Advanced Data Structures,TMC,LCD,120238,3,6,12,3,2,0,1,0,0,0,0,0,0,0,3.64,"Chan, Timothy M"
CS,598,43669,Special Top. in Robot Learning,YL,LCD,120238,8,12,4,0,2,0,0,0,0,0,0,0,0,0,3.87,"Li, Yunzhu"
CW,100,67101,Intro to Creative Writing,D,LCD,120238,0,13,6,1,3,0,0,0,0,0,0,0,0,0,3.75,"Price, Julie P"
CW,100,77317,Intro to Creative Writing,Q,LCD,120238,0,19,0,1,1,3,0,0,0,0,0,0,0,0,3.76,"Price, Julie P"
CW,100,63285,Intro to Creative Writing,S,LCD,120238,7,7,0,3,1,1,1,0,1,0,0,0,3,0,3.15,"McVicker, Zachariah P"
CW,100,78137,Intro to Creative Writing,S2,LCD,120238,15,1,2,1,0,0,0,1,0,0,1,0,2,0,3.38,"Bales, Amanda M"
CW,100,71425,Intro to Creative Writing,X,LCD,120238,10,7,1,2,2,1,0,0,0,0,0,0,0,0,3.78,"VanCalbergh, Michael"
CW,200,61647,Reading for Writers,S,LCD,120238,13,1,1,4,2,0,0,0,0,0,0,0,0,0,3.76,"Sannes, Nina"
CWL,114,66286,Global Consciousness and Lit,AL1,LEC,120238,65,14,5,6,2,2,1,2,0,1,1,1,4,0,3.61,"Tierney, Robert"
CWL,189,35845,Lit of the Islamic World,EC,LEC,120238,8,11,3,1,2,1,1,0,0,0,0,1,0,0,3.64,"Calderwood, Eric S"
CWL,241,40495,Early Masterpieces West Cultur,ADB,DIS,120238,12,5,3,0,2,0,0,0,0,0,0,0,0,0,3.86,"Casey, Mary S"
CWL,241,40496,Early Masterpieces West Cultur,ADC,DIS,120238,4,9,5,2,1,1,0,1,1,0,0,0,0,0,3.6,"Ghosh, Sambhabi"
CWL,241,40497,Early Masterpieces West Cultur,ADD,DIS,120238,5,8,3,2,3,2,0,0,0,0,0,0,0,0,3.65,"Fam, Matthew Shu Yon"
CWL,241,40498,Early Masterpieces West Cultur,ADE,DIS,120238,0,10,5,4,5,0,1,0,0,0,0,0,0,0,3.56,"Ghosh, Sambhabi"
CWL,241,40502,Early Masterpieces West Cultur,ADI,DIS,120238,4,13,4,0,2,1,0,1,0,0,0,0,0,0,3.73,"Fam, Matthew Shu Yon"
DANC,100,33749,Intro to Contemporary Dance,A,LAB,120238,0,19,3,3,0,0,0,0,1,0,0,0,3,0,3.4,"Allen, Betty J"
DANC,100,64564,Intro to Contemporary Dance,OL1,ONL,120238,0,16,2,3,1,1,0,0,0,0,0,0,0,0,3.78,"Owens, Nikolas C"
