Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
SOC,101,39088,Sociology of Gender,0,6,1,3,7,2,0,4,3,0,0,0,1,0,2.85,"Baker, Phyllis L"
SOC,275,37855,Criminology,1,6,6,3,2,1,0,0,0,0,0,0,2,2,3.27,"Krueger, Julie C"
SOC,310,36338,Sociology of Deviance,4,6,6,1,1,0,0,0,1,0,0,0,3,0,3.18,"Schneider, Matthew J"
SOC,350,38317,Technology and Society,0,12,0,0,3,3,0,0,0,0,3,0,1,0,3.09,"Steward, Daniel J"
SOCW,410,34358,Social Welfare Pol and Svcs,5,25,0,0,1,1,0,0,0,0,0,0,0,1,3.93,"Tabb Dina, Karen M"
SOCW,526,39209,Managing Human Service Orgs,0,1,11,8,1,0,0,0,0,0,0,0,0,0,3.52,"Mauck, Carol W"
SOCW,531,30385,Practice in Org Settings,0,27,0,0,2,0,0,0,0,0,0,0,0,0,3.93,"Escobar-Sawicki, Christin"
SOCW,531,30386,Practice in Org Settings,9,16,2,0,1,1,0,0,0,0,0,0,0,0,3.9,"Houston, Elisabeth A"
SOCW,531,33208,Practice in Org Settings,0,21,4,1,0,0,0,0,0,0,0,0,0,0,3.92,"White-Gibson, Nancy L"
SPAN,228,30426,Spanish Composition,10,6,1,2,2,0,0,0,0,0,0,0,2,0,3.49,"Munoz Gomez, Dulcinea"
SPAN,252,35405,Intro to Hispanic Linguistics,3,6,3,3,2,2,3,0,0,1,0,0,0,0,3.33,"Bowles, Melissa A"
STAT,100,30452,Statistics,1,3,1,3,1,5,4,1,1,0,1,0,0,0,2.86,"Flanagan, Karle A"
STAT,100,36918,Statistics,13,9,10,9,8,5,5,1,4,0,0,3,2,0,3.11,"Flanagan, Karle A"
STAT,200,34303,Statistical Analysis,9,13,10,5,4,0,0,2,0,2,0,1,1,0,3.42,"Fireman, Ellen S"
STAT,400,30460,Statistics and Probability I,15,23,14,5,8,4,1,4,1,0,0,0,0,0,3.56,"Stepanov, Alexey G"
STAT,410,33498,Statistics and Probability II,7,11,6,4,2,4,0,7,2,0,5,1,1,2,3,"Stepanov, Alexey G"
STAT,420,39301,Statistical Modeling in R,3,17,6,9,1,0,0,0,0,0,0,1,0,0,3.67,"Dalpiaz, David M"
STAT,420,38705,Methods of Applied Statistics,3,41,22,9,6,0,0,4,0,0,1,0,0,0,3.66,"Unger, David"
STAT,440,38257,Statistical Data Management,5,24,24,4,5,1,0,1,0,1,1,0,2,0,3.52,"Unger, David"
STAT,448,37298,Advanced Data Analysis,0,9,3,4,5,1,3,0,0,0,1,1,1,0,3.1,"Glosemeyer, Darren W"
TAM,212,30463,Introductory Dynamics,0,8,3,3,8,2,1,0,1,2,0,0,0,0,3.18,"Essick, Raymond B"
TAM,335,30468,Introductory Fluid Mechanics,1,8,4,3,6,4,2,0,0,1,1,0,0,0,3.21,"Berent, Zachary T"
THEA,101,30486,Introduction to Theatre Arts,28,3,3,1,1,0,2,0,1,0,0,0,3,1,3.52,"Morrissette, Jason W"
THEA,101,38345,Introduction to Theatre Arts,21,5,1,3,2,0,1,1,1,0,0,0,2,0,3.5,"Morrissette, Jason W"
THEA,110,38775,Broadway Musicals,9,5,2,0,2,1,0,0,0,0,1,0,1,0,3.48,"Morrissette, Jason W"
