CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A Range,B Range,C Range,D Range,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
77040,ACCY,419,Financial Acct Govt and NFP,A3,LCD,120251,"Ulla, Jennifer W",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76063,ACCY,449,Tax in Action - VITA,A,ONL,120251,"Alt, Amanda J",,,,,0,47,7,0,3,0,0,0,0,0,0,0,0,0,3.91
76065,ACCY,449,Tax in Action - VITA,B,ONL,120251,"Alt, Amanda J",,,,,12,10,4,0,2,0,0,0,0,0,0,0,0,0,3.88
61737,ACCY,451,Advanced Income Tax Problems,A3,LCD,120251,"Alt, Amanda J",,,,,15,4,2,3,7,3,1,3,2,1,0,0,1,0,3.23
61739,ACCY,451,Advanced Income Tax Problems,B3,LCD,120251,"Alt, Amanda J",,,,,13,6,5,3,4,2,3,3,0,0,0,0,0,0,3.48
61741,ACCY,451,Advanced Income Tax Problems,C3,LCD,120251,"Holder, Charles B",,,,,0,13,3,3,3,3,0,3,1,0,0,0,0,0,3.39
61743,ACCY,451,Advanced Income Tax Problems,D3,LCD,120251,"Holder, Charles B",,,,,0,17,8,4,4,4,0,3,1,0,0,0,0,0,3.48
65160,ACCY,451,Advanced Income Tax Problems,E3,LCD,120251,"Holder, Daniel E",,,,,0,15,0,0,6,0,0,4,0,0,0,0,0,0,3.45
67786,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",IMB,ONL,120251,,,,,,449,82,15,7,4,2,1,0,0,0,0,0,4,2,3.94
67787,ACCY,500,"Atg Measuremnt, Rpting & Cntrl",ONL,ONL,120251,"Mendoza, Scott A",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68872,ACCY,501,Accounting Analysis I A,DA1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,14,38,32,12,4,3,4,1,0,2,0,0,3,0,3.53
68873,ACCY,501,Accounting Analysis I B,DB1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,40,40,14,7,10,1,1,0,0,0,0,0,4,0,3.67
68874,ACCY,501,Accounting Analysis I A,NA1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,0,9,6,7,1,0,0,1,0,0,0,0,2,2,3.32
68876,ACCY,501,Accounting Analysis I B,NB1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,7,10,2,3,2,0,0,0,0,0,0,0,0,0,3.81
67590,ACCY,502,Accounting Analysis II A,DA1,ONL,120251,"Mendoza, Scott A",,,,,37,54,25,20,24,6,4,3,3,0,1,0,0,0,3.57
67591,ACCY,502,Accounting Analysis II B,DB1,ONL,120251,"Mendoza, Scott A",,,,,53,70,26,13,6,2,2,3,1,0,0,0,0,0,3.79
67594,ACCY,502,Accounting Analysis II A,NA1,ONL,120251,"Mendoza, Scott A",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67595,ACCY,502,Accounting Analysis II B,NB1,ONL,120251,"Mendoza, Scott A",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44637,ACCY,503,Managerial Accounting,A4,LCD,120251,"Herbold, T J",,,,,3,10,10,7,9,2,0,0,0,0,0,0,0,0,3.52
67610,ACCY,503,Managerial Accounting A,DA1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,28,65,60,18,32,7,5,3,1,0,0,0,1,0,3.57
67611,ACCY,503,Managerial Accounting B,DB1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,33,92,47,17,22,8,3,3,5,0,0,0,1,0,3.63
69063,ACCY,503,Managerial Accounting,IMB,ONL,120251,"Chen, Xiaoling",,,,,540,145,55,22,9,6,3,2,0,1,1,0,15,1,3.84
67612,ACCY,503,Managerial Accounting A,NA1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,4,8,3,8,4,1,0,1,0,0,0,0,1,1,3.41
67613,ACCY,503,Managerial Accounting B,NB1,ONL,120251,"Augusto Sampaio, Gerlando",,,,,2,11,7,1,5,1,0,0,1,0,1,0,0,0,3.5
69208,ACCY,503,Managerial Accounting,ONL,ONL,120251,"Chen, Xiaoling",,,,,40,18,4,4,1,1,1,1,0,0,0,0,4,0,3.65
66494,ACCY,506,Advanced Topics in Accounting,A4,LCD,120251,"Ibrahim, Adel Nematallah",,,,,1,11,8,2,8,1,0,0,0,0,0,0,0,1,3.57
67722,ACCY,507,Taxation of Bus Entities A,DA1,ONL,120251,"Donohoe, Michael P",,,,,8,46,9,13,7,9,2,0,1,0,1,1,3,0,3.45
67725,ACCY,507,Taxation of Bus Entities B,DB1,ONL,120251,"Donohoe, Michael P",,,,,19,36,17,13,4,2,1,0,0,0,0,0,0,0,3.75
67723,ACCY,507,Taxation of Bus Entities A,NA1,ONL,120251,"Donohoe, Michael P",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67728,ACCY,507,Taxation of Bus Entities B,NB1,ONL,120251,"Donohoe, Michael P",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46889,ACCY,510,Financial Reporting Standards,C,LCD,120251,"Persson, Martin E",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46890,ACCY,510,Financial Reporting Standards,D,LCD,120251,"Persson, Martin E",,,,,0,11,4,2,2,2,2,0,0,0,0,0,0,0,3.54
68841,ACCY,510,Financial Reporting Standards,E,LCD,120251,"Lambert, Deonette J",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30434,ACCY,512,Data Analytics for Mgmt Acctg,A,LCD,120251,"Wang, Wei",,,,,0,19,2,4,1,0,0,0,0,0,0,0,0,0,3.83
30436,ACCY,512,Data Analytics for Mgmt Acctg,B,LCD,120251,"Wang, Wei",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30437,ACCY,512,Data Analytics for Mgmt Acctg,C,LCD,120251,"Wang, Wei",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44467,ACCY,515,Auditing & Assurance Standards,A,LCD,120251,"Lullo, Michael J",,,,,0,3,1,7,3,2,3,2,0,0,0,0,0,0,3.06
46360,ACCY,515,Auditing & Assurance Standards,B,LCD,120251,"Lullo, Michael J",,,,,1,7,1,3,4,3,0,0,2,0,0,0,0,0,3.29
48423,ACCY,515,Auditing & Assurance Standards,C,LCD,120251,"Lullo, Michael J",,,,,2,8,1,3,4,2,1,0,0,0,0,0,0,0,3.49
71764,ACCY,516,Ethics,E4,LCD,120251,"Curtis, Susan M",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30428,ACCY,517,Financial Statement Analysis,A4,LCD,120251,"Godsell, David",,,,,0,0,6,11,6,1,0,0,0,1,0,0,0,0,3.23
58688,ACCY,517,Financial Statement Analysis,D4,LCD,120251,"Godsell, David",,,,,5,2,8,5,2,1,0,0,0,0,0,0,0,0,3.59
72663,ACCY,517,Financial Statement Analysis,DB1,ONL,120251,"Hamm, Brian K",,,,,6,13,5,0,0,0,0,0,0,0,0,0,1,0,3.77
61747,ACCY,517,Financial Statement Analysis,E4,LCD,120251,"Godsell, David",,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
