CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
63906,ACES,102,Intro Sustainable Food Systems,LR,LCD,120241,"Ball, Anna L",0,30,13,2,2,1,1,0,0,0,0,0,1,0,3.71
11927,ACES,298,International Experience,ALB,LCD,120241,"Ball, Anna L",18,2,0,0,0,0,0,1,0,0,0,0,0,0,3.9
74341,ADV,150,Introduction to Advertising,AB1,DIS,120241,"Du, Weiting",19,12,0,0,0,0,0,0,0,0,1,0,1,0,3.79
74342,ADV,150,Introduction to Advertising,AB2,DIS,120241,"Lyerla, Mackenzie M",23,9,0,1,2,0,0,0,0,0,1,0,1,0,3.74
74343,ADV,150,Introduction to Advertising,AB3,DIS,120241,"Du, Weiting",22,8,1,2,1,0,0,1,0,0,0,0,0,0,3.87
74344,ADV,150,Introduction to Advertising,AB4,DIS,120241,"Lyerla, Mackenzie M",21,11,0,0,3,0,1,0,0,0,0,0,0,0,3.87
74345,ADV,150,Introduction to Advertising,AB5,DIS,120241,"Liu, Yan",23,8,0,0,1,0,0,0,0,0,0,0,1,0,3.85
74346,ADV,150,Introduction to Advertising,AB6,DIS,120241,"Zhao, Zixuan",15,15,1,0,0,1,0,0,0,0,0,0,0,0,3.95
74347,ADV,150,Introduction to Advertising,AB7,DIS,120241,"Liu, Yan",27,7,0,0,0,0,0,0,0,0,1,0,0,0,3.91
74348,ADV,150,Introduction to Advertising,AB8,DIS,120241,"Zhao, Zixuan",12,14,2,0,3,0,0,1,0,0,1,0,0,0,3.74
74338,ADV,175,Diversity in Advertising,A,LEC,120241,"Chambers, Jason P",0,104,35,17,8,3,2,3,0,0,0,0,0,0,3.74
74331,ADV,200,Data Literacy,AB1,LAB,120241,"Taneja, Harsh",0,7,3,6,5,3,2,1,0,0,2,0,0,0,3.13
74332,ADV,200,Data Literacy,AB2,LAB,120241,"Taneja, Harsh",0,3,3,2,2,2,4,4,1,0,1,0,0,0,2.77
75663,ADV,201,Personal Branding,A,ONL,120241,"Oh, Sanghwa",7,91,24,8,9,4,1,1,1,0,1,1,0,0,3.73
75526,ADV,250,Advertising and Brand Strategy,AL1,LEC,120241,"Meron, Shachar",1,101,14,4,6,2,1,2,1,3,0,1,0,0,3.74
70232,ADV,270,Principles of Sales,A,ONL,120241,"Clifton, Dionne J",24,9,6,7,5,2,1,1,5,0,1,0,2,0,3.35
68850,ADV,281,Advertising Research Methods,D1,DIS,120241,"Zhang, Shiyue",2,3,2,4,0,5,4,1,3,0,0,1,2,0,2.63
68854,ADV,281,Advertising Research Methods,D3,DIS,120241,"Zhang, Shiyue",3,0,7,1,5,4,3,1,1,0,1,0,1,0,2.9
68855,ADV,281,Advertising Research Methods,D4,DIS,120241,"Rahman, Nisa P",1,1,3,3,2,2,4,1,3,0,2,1,0,0,2.58
68856,ADV,281,Advertising Research Methods,D5,DIS,120241,"Rahman, Nisa P",3,2,1,1,4,8,0,3,2,1,1,2,1,0,2.53
68858,ADV,284,Consumer Insight,D1,DIS,120241,"Randolph, Zoe J",11,10,10,0,0,0,0,0,0,0,1,0,0,1,3.8
68859,ADV,284,Consumer Insight,D2,DIS,120241,"Fukada, Masashi J",3,15,5,3,3,3,1,0,1,0,0,0,0,0,3.57
68860,ADV,284,Consumer Insight,D3,DIS,120241,"Randolph, Zoe J",10,14,2,3,2,1,1,0,0,0,0,0,0,0,3.77
68865,ADV,284,Consumer Insight,D4,DIS,120241,"Fukada, Masashi J",9,11,4,4,3,1,1,0,0,0,0,0,0,0,3.7
67034,ADV,290,AI and Advertising,AI,LCD,120241,"Peacock, Marisa C",18,4,0,2,0,0,0,0,0,0,1,0,0,0,3.83
74402,ADV,301,Becoming an Influencer,INF,LCD,120241,"Wilson, Carrie A",21,20,3,3,6,1,0,1,0,0,2,0,0,0,3.68
54936,ADV,310,Intro to Public Relations,A,LCD,120241,"Hitchon, Jacqueline C",5,65,28,12,20,3,6,5,1,0,0,0,0,1,3.56
73629,ADV,314,Sports Public Relations,SPR,LCD,120241,"Brown, Kent W",32,2,3,0,2,0,0,0,0,0,0,0,0,0,3.92
70233,ADV,320,Sales Management,A,ONL,120241,"Clifton, Dionne J",39,28,11,11,13,2,3,3,2,3,0,1,2,0,3.48
55675,ADV,350,Writing for Public Relations,A,LCD,120241,"Hitchon, Jacqueline C",6,18,0,0,1,0,0,0,0,0,0,0,0,0,3.96
62664,ADV,350,Writing for Public Relations,C,LCD,120241,"Vance, Allison C",2,14,3,1,0,0,1,0,0,0,1,0,0,0,3.71
75532,ADV,360,Innovations in Advertising,AB1,DIS,120241,"Park, Se Il",0,11,7,2,4,0,1,0,0,0,1,0,0,0,3.53
75533,ADV,360,Innovations in Advertising,AB2,DIS,120241,"Park, Se Il",0,21,4,0,1,0,0,0,0,0,0,0,0,0,3.91
75534,ADV,360,Innovations in Advertising,AB3,DIS,120241,"Lee, Yujin",0,18,4,1,3,1,1,0,0,0,0,0,0,0,3.71
70234,ADV,370,Sales and the Consumer,A,ONL,120241,"Clifton, Dionne J",43,8,8,5,2,1,4,1,0,0,0,0,0,0,3.75
60085,ADV,390,Content Creation,A,LCD,120241,"Sheldon, Peter S",0,36,16,18,19,8,9,1,2,0,1,0,0,0,3.35
60086,ADV,393,Advertising and Society,A,LCD,120241,"Vargas, Patrick T",5,18,2,1,7,1,0,0,0,0,0,0,0,0,3.72
42047,ADV,400,Copywriting,CW,LCD,120241,"Meron, Shachar",0,31,2,1,2,2,1,0,1,0,0,0,0,0,3.75
68732,ADV,409,Media Entrepreneurship,A,ONL,120241,"Kasdan, Terry P",4,23,3,1,0,0,1,0,0,0,0,0,0,0,3.9
50144,ADV,410,Public Relations Strategies,A,LCD,120241,"Wirtz, John",2,4,4,0,9,2,1,1,1,0,0,0,1,0,3.08
39501,ADV,410,Public Relations Strategies,B,LCD,120241,"Wirtz, John",1,6,2,0,9,1,0,0,2,0,0,0,0,0,3.25
74411,ADV,480,Social Media Analytics,SMA,LCD,120241,"Su, Leona Yi-Fan",28,2,1,0,0,1,0,0,0,0,0,0,0,0,3.95
57841,ADV,483,Audience Analysis,C,LCD,120241,"Sar, Sela",0,10,7,8,2,3,1,0,1,0,0,0,0,0,3.45
61524,ADV,483,Audience Analysis,D,LCD,120241,"Sar, Sela",0,18,7,4,1,5,1,0,0,0,0,0,1,0,3.51
