Subject,Course,CRN,Course Title,Course Section,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor
STAT,100,30452,Statistics,S2,ONL,3,14,5,1,7,1,5,1,3,1,0,2,1,1,3.06,"Williams, Theren"
STAT,200,34303,Statistical Analysis,ONL,ONL,13,19,8,7,5,2,3,0,0,1,0,0,2,1,3.49,"Fireman, Ellen S"
STAT,400,30460,Statistics and Probability I,AL1,OLC,11,22,6,8,11,2,7,4,3,2,1,0,7,2,3,"Nguyen, Ha Khanh"
STAT,410,33498,Statistics and Probability II,1GR,ONL,8,14,4,6,4,8,2,3,0,0,3,0,4,2,3.08,"Stepanov, Alexey G"
STAT,420,39301,Statistical Modeling in R,DSO,ONL,101,94,15,10,4,0,0,1,0,0,0,0,2,4,3.89,"Unger, David"
STAT,420,38705,Methods of Applied Statistics,OLG,ONL,5,8,1,2,3,0,0,2,0,0,0,0,1,0,3.47,"Unger, David"
STAT,425,41012,Applied Regression and Design,1GR,ONL,13,13,8,0,2,2,1,0,1,0,0,0,5,0,3.36,"Bravo De Guenni, Lelys"
TAM,212,30463,Introductory Dynamics,C,ONL,3,3,3,5,4,0,4,1,0,0,0,0,0,0,3.26,"Zhang, Xian"
TAM,251,30464,Introductory Solid Mechanics,A,ONL,0,7,5,2,5,4,2,3,3,3,0,3,4,0,2.45,"Johnson, Blake E"
TAM,335,30468,Introductory Fluid Mechanics,AL1,ONL,1,5,1,2,2,3,2,2,0,0,3,1,1,0,2.64,"Das, Partha Kumar"
THEA,101,30486,Introduction to Theatre Arts,A,ONL,19,3,0,0,0,0,0,1,0,0,0,1,1,0,3.63,"Carlson, Vincent J"
