Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS
2023,Spring,2023-sp,CWL 223,The Qur'an (Koran),,NW,LA,,,
2023,Spring,2023-sp,CWL 226,Humanist Persp of Afro-Am Exp,,US,LA,,,
2023,Spring,2023-sp,CWL 227,Golden Age of Russian Lit,,,LA,,,
2023,Spring,2023-sp,CWL 230,Popular Cultures of Contemporary East Asia,,NW,LA,,,
2023,Spring,2023-sp,CWL 240,Italy Middle Ages & Renaiss,,,LA,,,
2023,Spring,2023-sp,CWL 241,Early Masterpieces of Western Culture,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 242,Modern Masterpieces of Western Culture,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 249,Russian Lit and Revolution,,,LA,,,
2023,Spring,2023-sp,CWL 250,Grimms' Fairy Tales - ACP,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 251,Viking Mythology,,WCC,HP,,,
2023,Spring,2023-sp,CWL 252,Viking Sagas in Translation,,WCC,LA,,,
2023,Spring,2023-sp,CWL 253,Medieval Literature and Culture,,WCC,LA,,,
2023,Spring,2023-sp,CWL 254,Grimm's Fairy Tales in Context,,WCC,LA,,,
2023,Spring,2023-sp,CWL 255,Renaissance Literature and Culture,,WCC,LA,,,
2023,Spring,2023-sp,CWL 257,Enlightenment Literature and Culture,,WCC,LA,,,
2023,Spring,2023-sp,CWL 259,Early African American Literature and Culture,,US,,,,
2023,Spring,2023-sp,CWL 260,Modern African American Literature and Culture,,US,,,,
2023,Spring,2023-sp,CWL 262,Gender & Sexuality in Greco-Roman Antiquity,,WCC,LA,,,
2023,Spring,2023-sp,CWL 263,Odysseus and Other Heroes,,WCC,LA,,,
2023,Spring,2023-sp,CWL 264,Introduction to Greek and Roman Theater,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 267,The Short Story,,,LA,,,
2023,Spring,2023-sp,CWL 269,"British, American, and Continental Fiction",,,LA,,,
2023,Spring,2023-sp,CWL 271,The Holocaust in Context - ACP,ACP,WCC,LA,,,
2023,Spring,2023-sp,CWL 272,Sexuality and Literature,,,LA,,,
2023,Spring,2023-sp,CWL 273,The Holocaust in Context,,WCC,LA,,,
2023,Spring,2023-sp,CWL 275,Masterpieces of East Asian Lit,,NW,LA,,,
2023,Spring,2023-sp,CWL 276,Asian Film Genres,,NW,LA,,,
2023,Spring,2023-sp,CWL 283,Jewish Sacred Literature,,,LA,,,
